"index","customer_id","customer_state","highest_education","employment_status","gender","income","residence_type","marital_status","sales_channel","coverage","policy","vehicle_class","vehicle_size","monthly_premium","months_policy_active","months_since_last_claim","current_claim_amount","total_claims","total_claims_amount","customer_lifetime_value"
"1","AA11235","Nevada","Bachelor","Medical Leave","Female","11167","Suburban","Married","Branch","Basic","Personal","Two-Door Car","Midsize","73","25","0","1383","1","1383","442"
"2","AA16582","Washington","Bachelor","Medical Leave","Male","14072","Suburban","Divorced","Agent","Basic","Personal","Four-Door Car","Midsize","71","27","13","1379","2","1992","-75"
"3","AA34092","California","Associate","Employed","Male","33635","Suburban","Married","Web","Extended","Personal","Luxury SUV","Midsize","240","32","1","2633","2","3671","4009"
"4","AA56476","Arizona","High School","Employed","Female","74454","Suburban","Single","Call Center","Basic","Corporate","Four-Door Car","Midsize","71","39","25","906","2","1541","1228"
"5","AA69265","Nevada","Bachelor","Employed","Female","60817","Suburban","Single","Web","Premium","Personal","Four-Door Car","Midsize","103","21","3","1095","2","1760","403"
"6","AA71604","Arizona","Master","Employed","Female","87560","Suburban","Married","Web","Extended","Personal","Two-Door Car","Midsize","98","17","4","1136","2","1828","-162"
"7","AA93585","California","Associate","Employed","Male","97024","Urban","Married","Branch","Premium","Personal","SUV","Midsize","177","33","0","1712","1","1712","4129"
"8","AB21519","California","Associate","Employed","Female","93272","Urban","Married","Branch","Extended","Personal","Four-Door Car","Midsize","95","26","3","1702","2","2585","-115"
"9","AB23825","California","Associate","Employed","Male","21509","Suburban","Single","Agent","Extended","Personal","Two-Door Car","Midsize","81","48","24","2058","2","3033","855"
"10","AB26022","Oregon","High School","Retired","Male","26487","Suburban","Single","Call Center","Basic","Corporate","SUV","Midsize","112","17","0","1407","1","1407","497"
"11","AB45325","Arizona","High School","Employed","Male","74215","Suburban","Married","Branch","Basic","Personal","Two-Door Car","Small","64","50","27","2076","2","2677","523"
"12","AB60627","California","High School","Employed","Male","77517","Rural","Married","Branch","Extended","Corporate","SUV","Midsize","129","38","19","2017","2","2691","2211"
"13","AB62982","Oregon","Doctoral","Employed","Female","77521","Suburban","Married","Call Center","Basic","Personal","Two-Door Car","Small","73","41","6","1259","2","2157","836"
"14","AB69140","California","Master","Employed","Male","36007","Suburban","Married","Branch","Basic","Personal","Four-Door Car","Small","70","46","14","1465","3","3693","-473"
"15","AB72731","California","Bachelor","Employed","Female","28358","Rural","Married","Call Center","Basic","Personal","Sports Car","Midsize","117","52","24","1245","2","1975","4109"
"16","AB73565","California","Bachelor","Employed","Male","96748","Suburban","Married","Branch","Extended","Personal","Two-Door Car","Midsize","96","25","13","2390","2","2989","-589"
"17","AC22873","Arizona","High School","Medical Leave","Female","17120","Suburban","Married","Agent","Extended","Special","SUV","Midsize","125","44","14","1047","2","2117","3383"
"18","AC24378","Arizona","High School","Employed","Female","48552","Urban","Married","Call Center","Extended","Corporate","Four-Door Car","Midsize","94","22","5","1695","3","3943","-1875"
"19","AC40767","Washington","Bachelor","Employed","Male","68041","Urban","Single","Branch","Basic","Personal","Two-Door Car","Midsize","64","31","10","1467","2","1986","-2"
"20","AC58002","California","Bachelor","Employed","Female","53907","Urban","Married","Branch","Basic","Corporate","Four-Door Car","Midsize","71","14","1","1862","3","3226","-2232"
"21","AC67315","Nevada","Bachelor","Employed","Female","96950","Suburban","Married","Agent","Basic","Personal","Sports Car","Large","115","35","20","1654","2","2343","1682"
"22","AC75391","Arizona","Associate","Employed","Female","35091","Suburban","Divorced","Branch","Basic","Corporate","Two-Door Car","Midsize","74","47","27","1228","3","3394","84"
"23","AC79024","Nevada","Bachelor","Employed","Male","23241","Suburban","Married","Agent","Basic","Personal","Two-Door Car","Small","70","33","11","2004","3","3288","-978"
"24","AD12500","California","High School","Employed","Female","42696","Suburban","Single","Call Center","Extended","Personal","Luxury Car","Small","228","49","17","1176","2","1804","9368"
"25","AD38685","California","Associate","Employed","Male","62464","Urban","Married","Agent","Basic","Personal","Sports Car","Midsize","109","54","23","1953","3","3481","2405"
"26","AD56037","Arizona","High School","Employed","Male","87050","Suburban","Married","Agent","Extended","Personal","SUV","Midsize","129","35","1","2284","2","2527","1988"
"27","AD89594","California","Associate","Employed","Male","28651","Urban","Single","Agent","Basic","Personal","Four-Door Car","Midsize","67","36","4","1660","2","2468","-56"
"28","AD95939","California","Bachelor","Employed","Male","28773","Suburban","Single","Web","Extended","Personal","Luxury Car","Midsize","229","47","14","1843","2","2585","8178"
"29","AE23906","Arizona","Associate","Employed","Male","37256","Rural","Married","Branch","Basic","Personal","Four-Door Car","Midsize","62","37","15","1692","2","2610","-316"
